CountryName,CountryCode,Year,PopulationFemale,PopulationFemalePercentOfTotal,LaborForceFemale,LaborForceFemalePercentOfTotalLaborForce,LaborForceTotal,ProportionOfSeatsHeldByWomenInNationalParliamentsPercent
Virgin Islands (U.S.),VIR,2014,54516,52.3340991262428,23636,45.8996019030974,51495,NULL
West Bank and Gaza,WBG,2014,2117357,49.3018254496474,198508,18.787982611642,1056569,NULL
Yemen-Rep.,YEM,2014,12956433,49.4828648200505,1981933,25.9810504957869,7628379,0.3
Zambia,ZMB,2014,7872864,50.0775538069489,3120995,46.4387271929463,6720673,10.8
Zimbabwe,ZWE,2014,7731524,50.7123018026867,3818830,49.4568120758216,7721545,31.5
Arab World,ARB,2013,181941012,48.2478384833179,28144892,22.1831666329025,126874995,17.49244456611
Caribbean small states,CSS,2013,3450157,50.3708416121737,1368084,42.8553796997486,3192325,17.0811235955056
Central Europe and the Baltics,CEB,2013,53623019,51.7029147908926,22609023,45.4358529395191,49760313,19.2011929247223
East Asia & Pacific (all income levels),EAS,2013,1094368431,49.177796148932,542965280,43.4558103726227,1249465321,18.8518013033321
East Asia & Pacific (developing only),EAP,2013,982516750,48.980513200168,493972667,43.5035367201478,1135477032,19.2656021767149
Euro area,EMU,2013,172498108,51.1432979979683,73951205,45.4571652131153,162683275,29.7672433679354
Europe & Central Asia (all income levels),ECS,2013,462906516,51.6264611618653,196247063,45.2476344989637,433717836,24.6753349518928
Europe & Central Asia (developing only),ECA,2013,134300432,51.5354401359213,48928164,42.174676532745,116013133,18.1244656268053
European Union,EUU,2013,259088275,51.1468101535768,112086137,45.5275752361379,246193953,27.0906547133931
Fragile and conflict affected situations,FCS,2013,229665920,49.945564194717,69029471,40.4585047496966,170617948,15.6910508594719
Heavily indebted poor countries (HIPC),HPC,2013,342093104,50.1066437637143,129229749,45.5463107804587,283732638,21.7969413511507
High income,HIC,2013,692821645,50.6998519324922,303124974,44.2154683210286,685563178,24.5005456899741
High income: nonOECD,NOC,2013,151754502,50.2352341490161,62653378,41.2521369628306,151879103,16.9694161260426
High income: OECD,OEC,2013,541067143,50.8317117747677,240471596,45.0587914203077,533684075,26.378541714814
Latin America & Caribbean (all income levels),LCN,2013,313075724,50.5611922638077,124735512,41.4304856041268,301071804,24.8102169525732
Latin America & Caribbean (developing only),LAC,2013,262361718,50.5175580703354,106055192,41.5839303279255,255038884,26.2331199068685
Least developed countries: UN classification,LDC,2013,456199374,50.1288401993912,177582229,44.9633710236923,394948655,21.4936310223267
Low & middle income,LMY,2013,2849615481,49.2848778826295,1019066407,38.4299637434508,2651749602,20.7037605720716
Low income,LIC,2013,304467647,50.2831925809517,124412222,47.3413808768027,262798041,22.9635696088716
Lower middle income,LMC,2013,1390675053,49.0633751102138,371562628,32.412781580612,1146346012,16.291621504444
Middle East & North Africa (all income levels),MEA,2013,197846319,48.334846624705,29834025,21.1982096089274,140738414,15.9354265402844
Middle East & North Africa (developing only),MNA,2013,174082168,49.6456797805933,24302227,21.5659632467488,112687882,16.4158426560808
Middle income,MIC,2013,2545147834,49.1681011834206,894654185,37.4496579840867,2388951561,19.9814140639969
North America,NAC,2013,177453230,50.4621884301084,82414300,45.9467202959178,179369276,20.734100135318
OECD members,OED,2013,641402910,50.7768962128925,269106745,43.7205975180548,615514787,26.2390331890332
Other small states,OSS,2013,10288499,50.110517501114,3690782,43.7561930297576,8434885,16.7442879499218
Pacific island small states,PSS,2013,1083332,49.19477886844,285855,37.065332679825,771222,NULL
Small states,SST,2013,14821988,50.1026251883589,5344721,43.10806051055,12398432,14.8083415597236
South Asia,SAS,2013,822379236,48.4323129324196,175246489,26.5090269741566,661082319,20.0417012448133
Sub-Saharan Africa (all income levels),SSF,2013,474407670,50.0278231496461,170748712,45.916508363999,371867809,22.2514504525412
Sub-Saharan Africa (developing only),SSA,2013,473975177,50.0290100909265,170561668,45.9177568964768,371450352,22.2886178861789
Upper middle income,UMC,2013,1154472781,49.2948491228181,523091558,42.0963483290296,1242605549,22.9034763948498
World,WLD,2013,3542437126,49.55536823955,1322191381,39.6184435737214,3337312780,21.7738797215922
Afghanistan,AFG,2013,14883188,48.5070903609549,1272399,15.9396702299616,7982593,27.7
Albania,ALB,2013,1450810,50.0734059566168,529952,41.1766716911936,1287020,17.9
Algeria,DZA,2013,18966858,49.6694886769766,2087055,17.264964222262,12088383,31.6
Angola,AGO,2013,11819640,50.4074470187522,3932169,46.0814681121625,8533081,34.1
Argentina,ARG,2013,21727725,51.0780237030607,7791848,40.4204178967589,19277010,NULL
Armenia,ARM,2013,1544102,51.6043756550382,695389,45.2620541252647,1536362,10.7
Australia,AUS,2013,11564050,50.0048237110861,5557660,45.3838131072028,12245908,26
Austria,AUT,2013,4327566,51.0363779170921,2038128,46.0085672594883,4429888,33.3
