CountryName,CountryCode,Year,PopulationFemale,PopulationFemalePercentOfTotal,LaborForceFemale,LaborForceFemalePercentOfTotalLaborForce,LaborForceTotal,ProportionOfSeatsHeldByWomenInNationalParliamentsPercent
Euro area,EMU,2008,170920745,51.115907074862,71618462,44.4760005337235,161027206,24.9668829663963
Europe & Central Asia (all income levels),ECS,2008,454608449,51.6462057383373,189145142,44.7689535192193,422491765,21.3502629393855
Europe & Central Asia (developing only),ECA,2008,129450432,51.5471870471246,45343827,41.7263659618889,108669485,14.2482349265854
European Union,EUU,2008,256737521,51.1518460786786,108728012,44.7632768154616,242895559,23.7433213990636
Fragile and conflict affected situations,FCS,2008,203604791,49.9540365693025,60149225,40.3411872880283,149101274,12.2067647659922
Heavily indebted poor countries (HIPC),HPC,2008,298084141,50.1581530658263,110094429,45.4584122989551,242187143,17.5948358998289
High income,HIC,2008,674466118,50.8283307411438,293699099,44.0719294748049,666408540,21.939556561086
High income: nonOECD,NOC,2008,145984308,50.7215659945719,60640572,42.3351525967491,143239291,16.4807867494824
High income: OECD,OEC,2008,528481810,50.8579019985243,233058527,44.5474442127281,523169249,23.4662420382166
Latin America & Caribbean (all income levels),LCN,2008,295140118,50.5237083119077,111170859,40.6330357973033,273597227,22.1718144872101
Latin America & Caribbean (developing only),LAC,2008,247099580,50.4774718096454,94100502,40.7451369326102,230949040,21.8614840989399
Least developed countries: UN classification,LDC,2008,405161793,50.1259867160082,153709372,44.7283338714568,343651011,18.5995317099277
Low & middle income,LMY,2008,2664257709,49.2801793358562,956998820,38.773328440352,2468188465,16.989200913242
Low income,LIC,2008,266306823,50.3301454831841,107171880,47.3565680599189,226308380,20.0064445932374
Lower middle income,LMC,2008,1288164623,49.0622819143434,352209677,33.1633882242163,1062043700,12.7417653026716
Middle East & North Africa (all income levels),MEA,2008,179033519,48.4885279155113,25364770,20.8143466858517,121861956,8.30806577916993
Middle East & North Africa (developing only),MNA,2008,158526468,49.5387254881243,21193424,21.0469134886377,100696114,8.77397769516729
Middle income,MIC,2008,2397950886,49.1662707684167,849826940,37.9068864472587,2241880085,16.1015315670245
North America,NAC,2008,170482913,50.5374530511384,81189136,46.0437179739612,176330541,19.114131897712
OECD members,OED,2008,622073288,50.8042493316174,257044055,43.1682459312996,595447075,22.6380524576621
Other small states,OSS,2008,9375079,50.1994571149189,3278330,43.5251232633696,7532043,15.177025963808
Pacific island small states,PSS,2008,1012258,49.1121314860493,262977,36.7826895775199,714945,NULL
Small states,SST,2008,13740949,50.1822718036821,4839458,42.8429391075098,11295810,13.8755928853755
South Asia,SAS,2008,765772470,48.3877069228627,175447247,28.106090127906,624232144,18.4624732563115
Sub-Saharan Africa (all income levels),SSF,2008,414386044,50.089715560632,147027140,45.9066222032467,320274359,17.8027297193387
Sub-Saharan Africa (developing only),SSA,2008,414009168,50.0909746938655,146869732,45.9081682983455,319920696,17.9313730603729
Upper middle income,UMC,2008,1109786263,49.2875281290862,497617263,42.1768025911491,1179836385,18.7079580236117
World,WLD,2008,3338723827,49.5852777679227,1250697919,39.8997995469916,3134597005,18.4545486204125
Afghanistan,AFG,2008,12869864,48.5129090747277,984282,14.8149809394552,6643829,27.7
Albania,ALB,2008,1462169,49.6102123094609,519828,41.0951691665277,1264937,7.1
Algeria,DZA,2008,17258624,49.5779918674695,1758063,16.3167780585623,10774572,7.7
Angola,AGO,2008,10019089,50.4937116257626,3212684,45.292129841751,7093250,37.3
Argentina,ARG,2008,20629960,51.0871960825975,7507428,41.0022347592836,18309802,40
Armenia,ARM,2008,1453419,48.8539439447481,571871,41.5235764801557,1377220,8.4
Australia,AUS,2008,10628375,50.0177676095869,5075726,45.0202327022414,11274322,26.7
Austria,AUT,2008,4273312,51.352685272038,1952316,45.6618125319984,4275599,27.3
Azerbaijan,AZE,2008,4429490,50.5453384273457,2105633,48.9874169267299,4298314,11.4
Bahamas-The,BHS,2008,178261,51.1381663687975,94261,48.3149407730514,195097,12.2
Bahrain,BHR,2008,425528,38.1373697432372,117978,19.4969509675927,605110,2.5
Bangladesh,BGD,2008,73087466,49.2993233239354,27626185,39.3846296189506,70144585,6.3
Barbados,BRB,2008,144219,52.0054811315652,76715,48.8027532857488,157194,10
Belarus,BLR,2008,5092214,53.4447291137635,2183590,48.871590628053,4468015,31.8
Belgium,BEL,2008,5465024,51.0274321131851,2149115,45.0299750745501,4772632,35.3
Belize,BLZ,2008,152747,49.8904185651528,45706,36.8561106989646,124012,0
Benin,BEN,2008,4516881,50.335637333155,1707880,46.7844267039507,3650531,10.8
Bhutan,BTN,2008,322474,46.3998043137311,140394,41.430046920648,338870,8.5
Bolivia,BOL,2008,4788013,49.8755718279202,1948130,43.8905423094167,4438610,16.9
Bosnia and Herzegovina,BIH,2008,1927510,50.1988541438516,533690,36.4448997012377,1464375,11.9
Botswana,BWA,2008,985107,50.0596585336603,467884,47.1482353320542,992368,11.1
Brazil,BRA,2008,98764411,50.7083047457239,43109482,43.0614103945061,100111635,9
Brunei Darussalam,BRN,2008,184442,48.4371799383381,73764,40.0736672262334,184071,NULL
Bulgaria,BGR,2008,3844339,51.30873879339,1634984,45.7178201418189,3576251,21.7
Burkina Faso,BFA,2008,7437300,50.5628828477999,3137566,47.7342565464159,6572986,15.3
Burundi,BDI,2008,4468028,50.6476062978113,2076595,51.4506104169031,4036094,30.5
Cabo Verde,CPV,2008,246101,50.865810708026,81151,38.6960336458224,209714,18.1
Cambodia,KHM,2008,7156505,51.3612719127638,3789841,50.4984028377296,7504873,16.3
Cameroon,CMR,2008,9796194,50.0561306355337,3478786,45.5311544395541,7640452,13.9
Canada,CAN,2008,16759792,50.4117973377658,8710399,46.836971573035,18597272,22.1
Central African Republic,CAF,2008,2173134,50.7693547689997,928476,46.9268558951965,1978560,10.5
Chad,TCD,2008,5572341,50.0221818462549,1836241,45.1299700352734,4068784,5.2
Channel Islands,CHI,2008,79759,50.6126774416671,35395,44.7947251189633,79016,NULL
Chile,CHL,2008,8436242,50.6804782427427,2769196,37.2391260438387,7436254,15
China,CHN,2008,643051760,48.5448482505156,342942776,44.1865053201338,776125592,21.3
Colombia,COL,2008,22748014,50.6618552632575,8546045,40.7692466587975,20961989,8.4
Comoros,COM,2008,330085,49.6059595980848,65617,29.6708116662898,221150,3
Congo-Dem. Rep.,ZAR,2008,31054126,50.2418520404008,11843959,49.951111508862,23711102,8.4
Congo-Rep.,COG,2008,1916987,50.0156936065317,759714,48.7502406345051,1558380,7.3
Costa Rica,CRI,2008,2209777,49.8876624165313,744496,36.056078278675,2064828,36.8
Cote d'Ivoire,CIV,2008,9408883,48.8477594880646,2679082,36.8480035430217,7270630,8.9
Croatia,HRV,2008,2297671,51.8134383450299,901337,45.3753570526006,1986402,20.9
Cuba,CUB,2008,5612569,49.7116934371363,1915149,37.7351341542205,5075241,43.2
Cyprus,CYP,2008,529003,49.1177426393441,240012,42.8874689081396,559632,14.3
Czech Republic,CZE,2008,5303781,51.0735061719656,2258180,43.3822801929954,5205305,15.5
Denmark,DNK,2008,2770703,50.4349169526989,1392256,46.9618060240379,2964656,38
Djibouti,DJI,2008,402802,49.750814869343,90611,34.3391278314025,263871,13.8
Dominican Republic,DOM,2008,4822725,50.0464847629703,1670844,39.2390161007713,4258119,19.7
Ecuador,ECU,2008,7216390,49.9487112046291,2628066,39.1025854670588,6720952,25
Egypt-Arab Rep.,EGY,2008,39140493,49.5599074869744,6090819,23.6092942991221,25798395,1.8
El Salvador,SLV,2008,3156368,52.5693435544025,1017582,40.667573870142,2502195,16.7
Equatorial Guinea,GNQ,2008,333979,48.6691643969963,157408,44.5080330937449,353662,6
Eritrea,ERI,2008,2253322,50.0667238733708,1052229,47.8669279668535,2198238,22
Estonia,EST,2008,715364,53.5015347690682,341293,48.6267262984372,701863,20.8
Ethiopia,ETH,2008,41624285,50.1016868062257,18013876,47.1185120868552,38230995,21.9
Fiji,FJI,2008,412730,48.9477067288421,109309,33.5515693966126,325794,NULL
Finland,FIN,2008,2709092,50.986042975667,1305937,47.7456111038397,2735198,41.5
France,FRA,2008,32992334,51.2502349359758,13734069,46.7125883500873,29401216,18.2
French Polynesia,PYF,2008,128147,48.7478935015235,45157,41.0880503716914,109903,NULL
Gabon,GAB,2008,732324,49.6914993882914,248772,45.8912726669003,542090,16.7
Gambia-The,GMB,2008,800661,50.4592093645561,313255,47.5336030275349,659018,9.4
Georgia,GEO,2008,2308943,52.6698884946665,1078656,46.8249789133574,2303591,6
Germany,DEU,2008,41893888,51.021603848347,18956742,45.2313069899677,41910666,32.2
Ghana,GHA,2008,11650629,50.4008903993823,4784445,49.828802326572,9601766,7.9
Greece,GRC,2008,5690257,50.8674576713071,2077382,40.7360795291877,5099612,14.7
Guam,GUM,2008,77755,49.1156591497694,29410,41.7494747600931,70444,NULL
Guatemala,GTM,2008,7218787,51.172801948466,2128915,37.598631913241,5662214,12
Guinea,GIN,2008,5210144,49.9661083787683,1900411,45.3847158707312,4187337,NULL
Guinea-Bissau,GNB,2008,786396,50.3682524676662,309403,46.9020538777193,659679,10
Guyana,GUY,2008,376418,50.3168042604158,99394,33.6433856631261,295434,30
Haiti,HTI,2008,4908486,50.5762004218388,1875251,47.3460355211848,3960735,4.1
Honduras,HND,2008,3630469,50.0101109309633,943145,33.663047225956,2801722,23.4
Hong Kong SAR-China,HKG,2008,3674835,52.8160519010232,1718630,46.5694954806484,3690463,NULL
Hungary,HUN,2008,5272698,52.5263964227762,1935281,45.322920489379,4269983,11.1
Iceland,ISL,2008,157654,49.6682611205904,88159,46.5885250146648,189229,33.3
India,IND,2008,576376563,48.1489395371746,126196659,26.8391282842297,470196564,9.1
Indonesia,IDN,2008,116876570,49.6584764244797,42778670,37.8468068099581,113031121,11.6
Iran-Islamic Rep.,IRN,2008,35696750,49.2160608475091,4193853,17.564401397914,23877005,2.8
Iraq,IRQ,2008,14418228,49.4395855452295,1196559,16.9323995430388,7066683,25.5
Ireland,IRL,2008,2250272,50.1225071956376,974505,43.2235606894267,2254569,13.3
Israel,ISR,2008,3701315,50.641897835408,1397742,46.5672626355339,3001555,14.2
Italy,ITA,2008,30240450,51.405967244958,10091670,40.6686922153822,24814346,21.3
Jamaica,JAM,2008,1346742,50.4032614199748,569278,44.6483794435403,1275025,13.3
Japan,JPN,2008,65645169,51.2600584835282,27753332,41.5447156309236,66803519,9.4
Jordan,JOR,2008,2796796,48.3372892171177,261166,17.1129252823968,1526133,6.4
Kazakhstan,KAZ,2008,8129209,51.8642914919522,4174424,49.5623839056155,8422565,15.9
Kenya,KEN,2008,19126706,50.0117271942417,6710050,46.4626245592402,14441823,9.8
Korea-Dem. Rep.,PRK,2008,12403070,51.1596992372781,7000437,48.0932987477081,14555951,20.1
Korea-Rep.,KOR,2008,24560861,50.1767393923897,10215225,41.5148249161492,24606210,13.7
Kuwait,KWT,2008,1159823,42.872409242632,354720,25.8648221793475,1371438,3.1
Kyrgyz Republic,KGZ,2008,2693703,50.6458923705131,1046682,42.6848136998301,2452118,25.6
Lao PDR,LAO,2008,3051880,50.4823553756807,1468167,50.6163948126165,2900576,25.2
Latvia,LVA,2008,1181875,54.28112386118,568052,49.1135725210508,1156609,20
Lebanon,LBN,2008,2009595,48.9025254119286,316503,22.1696180347608,1427643,4.7
Lesotho,LSO,2008,1006196,51.0191188087987,368926,46.3904977227631,795262,25
Liberia,LBR,2008,1827852,49.7675059396392,605325,47.7980483598674,1266422,12.5
Libya,LBY,2008,2973735,48.5664595031669,633556,27.2659392662388,2323617,7.7
Lithuania,LTU,2008,1718594,53.7357576646017,765813,49.5771319811742,1544690,17.7
Luxembourg,LUX,2008,246736,50.493424782355,96097,43.4438828560837,221198,23.3
Macao SAR-China,MAC,2008,264179,52.0781668289721,148949,48.1973207351799,309040,NULL
Macedonia-FYR,MKD,2008,1030989,50.1632878663881,358192,39.033320728769,917657,31.7
Madagascar,MDG,2008,10003276,50.2001174498783,4852526,49.3488578940512,9833107,7.9
Malawi,MWI,2008,6982357,50.2159094594903,3224181,51.876933711147,6215057,13
Malaysia,MYS,2008,13208718,48.5660703144271,4169557,36.063088914646,11561841,10.8
Maldives,MDV,2008,180387,49.8305433204787,68662,41.8760101241119,163965,12
Mali,MLI,2008,7064918,49.6710808236257,1715090,37.2389798487981,4605631,10.2
Malta,MLT,2008,206432,50.4256973562472,57300,33.6722101427984,170170,8.7
Mauritania,MRT,2008,1698725,49.7495718325567,269912,25.5266107104859,1057375,22.1
Mauritius,MUS,2008,627289,50.4202298360356,201609,36.3458543057819,554696,17.1
Mexico,MEX,2008,57811648,50.2828820734946,17546664,36.1250641676354,48571994,23.2
Moldova,MDA,2008,1856197,51.99274269502,636279,48.9402091353457,1300115,21.8
Mongolia,MNG,2008,1323635,50.3347193141638,521380,46.1840452539511,1128918,4.2
Montenegro,MNE,2008,313203,50.7648368670733,112117,43.2667001119129,259130,11.1
Morocco,MAR,2008,15918784,50.7767393127213,3061069,26.8518569688823,11399841,10.5
Mozambique,MOZ,2008,11841125,51.4946444352124,5701035,53.9338958594991,10570412,34.8
Myanmar,MMR,2008,26115275,51.1763118350407,13827787,49.6751950916645,27836402,NULL
Namibia,NAM,2008,1087596,51.4058920368312,397871,48.2608337032913,824418,26.9
Nepal,NPL,2008,13413695,50.9538528184211,6768808,49.7731210757241,13599324,33.2
Netherlands,NLD,2008,8306207,50.507189466837,4078899,45.5720755471661,8950435,41.3
New Caledonia,NCL,2008,119913,49.4394131800561,42313,40.4216700579868,104679,NULL
New Zealand,NZL,2008,2169834,50.9374664557169,1069285,46.6037168434724,2294420,33.6
Nicaragua,NIC,2008,2836770,50.7061905534769,866896,37.7206017048973,2298203,18.5
Niger,NER,2008,7498772,49.7096942485746,1512055,30.8600098413727,4899723,12.4
Nigeria,NGA,2008,74350228,49.2008681852035,20059302,42.6720154758023,47008096,7
Norway,NOR,2008,2393920,50.2058310016718,1223887,47.2349379385989,2591063,36.1
Oman,OMN,2008,1135495,42.8120172787122,200978,18.6876834685162,1075457,0
Pakistan,PAK,2008,79177990,48.5465687793064,10795264,19.7453806267563,54672352,22.5
Panama,PAN,2008,1739958,49.7318559376268,599836,36.8112496478962,1629491,16.7
Papua New Guinea,PNG,2008,3204601,48.9980149128468,1391726,48.4061603401063,2875101,0.9
Paraguay,PRY,2008,2981439,49.3033638596551,1099568,38.7435942247955,2838064,12.5
Peru,PER,2008,14331130,50.0352837897625,6613175,44.0137874715437,15025235,29.2
Philippines,PHL,2008,44726134,49.5321849430073,14265067,38.2072820353766,37335990,20.5
Poland,POL,2008,19663223,51.574640256211,7854758,44.6404973792294,17595588,20.2
Portugal,PRT,2008,5479586,51.8989817780416,2632020,47.0978834028463,5588404,28.3
Puerto Rico,PRI,2008,1954700,51.9747186656245,578626,42.0777596381446,1375135,NULL
Qatar,QAT,2008,365142,26.2888401554542,130468,13.0070893561955,1003053,0
Romania,ROM,2008,10546240,51.3502023390692,4320208,44.688370514957,9667410,11.4
Russian Federation,RUS,2008,76494014,53.588870866416,37701820,48.9167068361132,77073504,14
Rwanda,RWA,2008,5099117,52.2969516674027,2614276,54.2431779909651,4819548,56.3
Samoa,WSM,2008,88714,48.3613170518971,14019,27.3701679031628,51220,8.2
Sao Tome and Principe,STP,2008,82247,50.2747638986522,20224,37.0064043915828,54650,7.3
Saudi Arabia,SAU,2008,11727555,43.853061690302,1345074,14.3091152027846,9400120,0
Senegal,SEN,2008,6240373,51.0263658896704,2340877,44.7327094502766,5233032,22
Serbia,SRB,2008,3757862,51.1258258517038,1451771,43.9153039028169,3305843,21.6
Sierra Leone,SLE,2008,2797041,50.6541662395746,1037819,50.0830519892906,2072196,13.2
Singapore,SGP,2008,2447213,50.5685266187745,1137747,43.0809093986491,2640954,24.5
Slovak Republic,SVK,2008,2771346,51.5193516049593,1203232,44.7436696939982,2689167,19.3
Slovenia,SVN,2008,1025453,50.7319268846286,476939,46.0052763322257,1036705,13.3
Solomon Islands,SLB,2008,247526,49.1698615442681,79098,40.0210482642771,197641,0
Somalia,SOM,2008,4594267,50.3062932099539,890182,33.2759658336916,2675150,8.2
South Africa,ZAF,2008,25138826,50.9458286909695,8246563,44.5449623578633,18512897,33
Spain,ESP,2008,23225520,50.5406855828411,9917068,42.848495938235,23144495,36.3
Sri Lanka,LKA,2008,10344031,51.09172621562,2866995,33.8382124611471,8472655,5.8
St. Lucia,LCA,2008,87995,50.9439642445681,40572,46.594315245478,87075,11.1
St. Vincent and the Grenadines,VCT,2008,54029,49.4929693583108,21524,40.6727135298564,52920,18.2
Sudan,SDN,2008,17176599,49.8303749175591,3039083,28.8867517226309,10520681,18.1
Suriname,SUR,2008,252588,49.8538458957441,70785,36.610153712477,193348,25.5
Swaziland,SWZ,2008,587768,50.9441386782232,155115,39.695416403293,390763,13.8
Sweden,SWE,2008,4637155,50.2965045809641,2325416,47.3828076208896,4907721,47
Switzerland,CHE,2008,3892160,50.8933711473762,2036534,46.2035978083094,4407739,28.5
Syrian Arab Republic,SYR,2008,9890689,49.214613861124,923005,16.1691795035476,5708422,12.4
Tajikistan,TJK,2008,3609621,49.7599279411619,1347156,43.7026204261923,3082552,17.5
Tanzania,TZA,2008,21576512,50.3597640821474,10555070,50.1927999417187,21029052,30.4
Thailand,THA,2008,33622742,50.5960799060934,17795357,45.7531185029047,38894304,11.7
Timor-Leste,TMP,2008,507567,49.2481921399921,79312,31.8858875036685,248737,29.2
Togo,TGO,2008,3075658,50.8126550796745,1430885,51.4728312404403,2779884,11.1
Tonga,TON,2008,51358,49.9513694366636,17505,42.5467272683081,41143,3.1
Trinidad and Tobago,TTO,2008,663961,50.4770513588551,279915,41.8585141397632,668717,26.8
Tunisia,TUN,2008,5199255,50.3369638101742,986278,26.8757003152236,3669776,22.8
Turkey,TUR,2008,35779830,50.8638240875526,6438864,27.1615198809103,23705831,9.1
Turkmenistan,TKM,2008,2494395,50.724437274646,816865,39.4730611029929,2069424,NULL
Uganda,UGA,2008,15539788,50.1050301525803,6086838,49.5013704120149,12296302,30.7
Ukraine,UKR,2008,24862139,53.7464481769937,11328368,48.8653454069836,23182826,8.2
United Arab Emirates,ARE,2008,1785761,25.8800615987323,567086,12.4938008640345,4538939,22.5
United Kingdom,GBR,2008,31480966,50.9343095321385,14487130,45.7078830893267,31695036,19.5
United States,USA,2008,153723121,50.5511906513213,72478738,45.9501907615951,157733269,17
Uruguay,URY,2008,1734831,51.7731417152516,739548,44.1114841671225,1676543,12.1
Uzbekistan,UZB,2008,13858960,50.7602145816903,4684649,40.555128331321,11551311,17.5
Vanuatu,VUT,2008,110735,49.1423880000888,43045,43.4153327886875,99147,3.8
Venezuela-RB,VEN,2008,14066385,50.0285488532871,4999927,39.1382707191441,12775033,18.6
Vietnam,VNM,2008,43138876,50.6808447626268,23751034,48.4649324444578,49006638,25.8
Virgin Islands (U.S.),VIR,2008,55858,52.1593876042261,24741,45.4689136787165,54413,NULL
West Bank and Gaza,WBG,2008,1772905,49.2927145198275,159674,18.4106815482711,867290,NULL
Yemen-Rep.,YEM,2008,11047812,49.4913809481551,1522268,25.4013355212681,5992866,0.3
Zambia,ZMB,2008,6576098,50.1434167272926,2594419,46.5392849032215,5574686,15.2
Zimbabwe,ZWE,2008,6818771,50.5263991703285,3342473,49.1055590733262,6806710,15.2
Arab World,ARB,2007,159643585,48.5728817461644,23202311,21.9676499654882,105620348,9.76215634711929
Caribbean small states,CSS,2007,3334030,50.4977998534274,1272335,42.3646412592561,3003296,18.0911764705882
Central Europe and the Baltics,CEB,2007,54533391,51.6881992428709,22259868,45.1823991387282,49266681,16.8314759676733
East Asia & Pacific (all income levels),EAS,2007,1052279661,49.2263456843852,517451619,43.6322873642237,1185937414,17.7840581625909
East Asia & Pacific (developing only),EAP,2007,943029532,49.0406421372626,470552380,43.7982538516107,1074363332,17.9731661734932
Euro area,EMU,2007,170083452,51.1130998086074,70546235,44.2501556474877,159425957,24.6502087198516
Europe & Central Asia (all income levels),ECS,2007,452798943,51.6472839034495,187221243,44.7536502028692,418337366,21.0083492844773
Europe & Central Asia (developing only),ECA,2007,128871403,51.5516435825747,44815809,41.7221969634404,107414788,13.8714885954382
European Union,EUU,2007,255791964,51.1552720262988,107444498,44.6389960043082,240696491,23.4831150930393
Fragile and conflict affected situations,FCS,2007,198644347,49.9438394697626,58413105,40.2706866694367,145051176,12.2565073453342
Heavily indebted poor countries (HIPC),HPC,2007,289879042,50.1595335570171,106490742,45.3838951259784,234644344,17.6377903422983
High income,HIC,2007,669760990,50.8593745304462,290030818,44.032484231043,658674665,21.8960970750702
High income: nonOECD,NOC,2007,144753297,50.8549829123178,60142654,42.7214369953429,140778634,17.213106594774
High income: OECD,OEC,2007,525007693,50.8605855055101,229888164,44.3888635547607,517896031,23.2041010194625
Latin America & Caribbean (all income levels),LCN,2007,291469108,50.5164535675756,108505980,40.5467951487032,267606801,21.1167704839483
Latin America & Caribbean (developing only),LAC,2007,243966202,50.4700798065734,91888980,40.7059529854447,225738432,20.5312370829643
Least developed countries: UN classification,LDC,2007,395635195,50.1099042021843,149290611,44.6285288551206,334518338,17.0219087719298
Low & middle income,LMY,2007,2628632415,49.2799885362494,948646571,38.9138579947583,2437811675,16.1698782648894
Low income,LIC,2007,259278743,50.331456611335,103928072,47.2848299700076,219791576,18.5825438139858
Lower middle income,LMC,2007,1268199981,49.0663104313599,350622846,33.4266521901385,1048931980,12.7228104276241
Middle East & North Africa (all income levels),MEA,2007,175471512,48.5463966892562,25184573,21.1065619744405,119321050,8.35554685460715
Middle East & North Africa (developing only),MNA,2007,155631802,49.4960385089015,21216055,21.3084913006869,99566193,8.8522896039604
Middle income,MIC,2007,2369353672,49.1675869329104,844718499,38.0843483231593,2218020099,15.4813815300817
North America,NAC,2007,168874529,50.5432080111052,79988551,45.914243130602,174212936,18.6547297297297
OECD members,OED,2007,617257883,50.8071537468852,252901997,43.0003357349248,588139586,22.4040594979857
Other small states,OSS,2007,9214541,50.2186627392475,3192401,43.4244460815733,7351623,14.7083029861617
Pacific island small states,PSS,2007,997850,49.0933341598784,259527,36.7965257485081,705304,NULL
Small states,SST,2007,13546421,50.202195775363,4724263,42.714008323882,11060223,13.7669811320755
South Asia,SAS,2007,754205619,48.375768217475,177813785,28.6496782283131,620648455,14.2865353911655
Sub-Saharan Africa (all income levels),SSF,2007,403294033,50.0980043795679,142511638,45.9089545874727,310422317,17.3086213493177
Sub-Saharan Africa (developing only),SSA,2007,402927857,50.0992447410293,142359564,45.9105224216391,310080474,17.272336836642
Upper middle income,UMC,2007,1101153691,49.284746462296,494095653,42.2633373665537,1169088119,17.5886802340816
World,WLD,2007,3298393405,49.592706241789,1238677389,40.0026757876809,3096486339,17.8788762465879
Afghanistan,AFG,2007,12530225,48.4212296190087,938887,14.5068954674788,6472005,27.7
Albania,ALB,2007,1475636,49.6844245593187,527079,41.3099482488226,1275913,7.1
Algeria,DZA,2007,16975199,49.5453078283208,1671217,15.8026664931846,10575538,7.7
Angola,AGO,2007,9690536,50.5138812443159,3138393,45.615249108303,6880140,15
Argentina,ARG,2007,20418920,51.085738186555,7406959,40.8080928620372,18150711,40
Armenia,ARM,2007,1479740,49.5208186292572,594313,42.7634992052625,1389767,9.2
Australia,AUS,2007,10423970,50.04882973352,4929176,44.8886339006821,10980900,26.7
Austria,AUT,2007,4261607,51.3725938980568,1918962,45.2543004817709,4240397,32.8
Azerbaijan,AZE,2007,4342321,50.6021378332213,2028317,48.7221911951045,4163025,11.4
Bahamas-The,BHS,2007,175061,51.1486914880252,91298,48.312210609869,188975,12.2
Bahrain,BHR,2007,396640,38.6374794460766,105755,19.6227780457936,538940,2.5
Bangladesh,BGD,2007,72145034,49.2146200990231,26959715,39.1497954096612,68862978,NULL
Barbados,BRB,2007,143608,52.0028679649761,75961,48.779876960224,155722,13.3
Belarus,BLR,2007,5105466,53.4044518970735,2202696,48.8777100861081,4506545,29.1
Belgium,BEL,2007,5422769,51.0344676188225,2117366,44.7507579049529,4731464,35.3
Belize,BLZ,2007,148730,49.8419922051722,43270,36.4639952808326,118665,3.3
Benin,BEN,2007,4387874,50.3910992155507,1647711,46.7716108975394,3522887,10.8
Bhutan,BTN,2007,316481,46.4408610197646,135385,41.1449532585308,329044,2.7
Bolivia,BOL,2007,4708637,49.8717997873639,1895285,43.7355630885818,4333510,16.9
Bosnia and Herzegovina,BIH,2007,1927674,50.1943798826065,516751,35.877712606713,1440312,11.9
Botswana,BWA,2007,966515,50.0673165733455,455246,47.1585005692218,965353,11.1
Brazil,BRA,2007,97723585,50.6905764493406,42337340,43.1020277286229,98225866,9
Brunei Darussalam,BRN,2007,181657,48.5118531000724,72569,40.1406074551821,180787,NULL
Bulgaria,BGR,2007,3871457,51.3092633586747,1619707,46.1384003600586,3510540,21.7
Burkina Faso,BFA,2007,7216599,50.5930874098307,3045931,47.8162502011358,6370075,15.3
Burundi,BDI,2007,4310584,50.6259264992346,1993733,51.3668794873136,3881359,30.5
Cabo Verde,CPV,2007,245078,50.9223359472072,78690,38.5638884396548,204051,18.1
Cambodia,KHM,2007,7057401,51.4061855820289,3651831,50.3000027134609,7260101,19.5
Cameroon,CMR,2007,9552378,50.069860206205,3364934,45.403411489002,7411192,13.9
Canada,CAN,2007,16582398,50.4209276042966,8565389,46.8373382223497,18287523,21.3
Central African Republic,CAF,2007,2133835,50.7801567976423,904236,46.8128461512178,1931598,10.5
Chad,TCD,2007,5394294,50.042135519408,1774562,45.154295322438,3929996,5.2
Channel Islands,CHI,2007,79344,50.6938587748217,34912,44.608563433551,78263,NULL
Chile,CHL,2007,8343120,50.6789256513861,2587209,36.1988360223057,7147216,15
China,CHN,2007,639887777,48.5541437414672,342003994,44.2953880597601,772098426,20.6
Colombia,COL,2007,22474136,50.6463431697834,8315561,40.7635750091583,20399489,8.4
Comoros,COM,2007,322199,49.6145696669562,62870,29.395400159905,213877,3
Congo-Dem. Rep.,ZAR,2007,30073025,50.2600281190526,11475675,49.979473690262,22960776,8.4
Congo-Rep.,COG,2007,1858764,50.0250695366778,735015,48.7579578328558,1507477,7.3
Costa Rica,CRI,2007,2179425,49.8785320399637,730803,35.7904124402026,2041896,36.8
Cote d'Ivoire,CIV,2007,9204157,48.7969094969551,2599092,36.6147114929074,7098491,8.9
Croatia,HRV,2007,2298820,51.8219169844994,898723,45.0966037160216,1992884,20.9
Cuba,CUB,2007,5609471,49.7115351297403,1887864,37.7886748310496,4995846,36
Cyprus,CYP,2007,523322,49.2288154726069,234940,42.7030092407465,550172,14.3
Czech Republic,CZE,2007,5269138,51.1625056979405,2263035,43.68892115903,5179883,15.5
Denmark,DNK,2007,2755605,50.4556622403415,1375341,46.8965265620855,2932714,38
Djibouti,DJI,2007,397644,49.7484702411708,87187,34.0478459183355,256072,13.8
Dominican Republic,DOM,2007,4754793,50.0276189730666,1627985,38.9901319090468,4175377,19.7
Ecuador,ECU,2007,7094101,49.9391889565991,2642603,39.5645508853655,6679219,25
Egypt-Arab Rep.,EGY,2007,38472775,49.5749151343696,5909577,23.5592544505062,25083888,1.8
El Salvador,SLV,2007,3141835,52.4827551185067,996611,40.6720568994408,2450358,16.7
Equatorial Guinea,GNQ,2007,324005,48.6641593996978,152075,44.4867965703554,341843,18
Eritrea,ERI,2007,2206973,50.0867735031145,1022711,47.6278981825498,2147294,22
Estonia,EST,2007,717634,53.5276250471458,337400,48.4926880097733,695775,20.8
Ethiopia,ETH,2007,40531336,50.1055135659451,17454024,47.0707949824015,37080368,21.9
Fiji,FJI,2007,408674,48.9588836616435,108298,33.6214336717271,322110,NULL
Finland,FIN,2007,2697874,51.0118572606414,1299845,48.0169409191908,2707055,41.5
France,FRA,2007,32799409,51.2360844888438,13600124,46.5957937401178,29187450,18.2
